geometry,code
POINT (0.0007682361003502 0.0002482376298436),BaylorSCH0W-WasinkhyahTMP0W-7
POINT (0.0007682256162256 0.0002482377765473),BaylorSCH0W-WasinkhyahTMP0W-8
POINT (0.0007682378724755 0.0002482376199216),BaylorSCH0W-WasinkhyahTMP0W-9
POINT (0.0007682723240158 0.0002482311444564),BaylorSCH0E-WasinkhyahTMP0E-22
POINT (0.0007682759463311 0.000248191683051),BaylorSCH0SE-WasinkhyahTMP0SE-143
POINT (0.000768230937911 0.0002481939464038),BaylorSCH0S-WasinkhyahTMP0S-40
POINT (0.000768263675524 0.0002481981357341),BaylorSCH0SE-WasinkhyahTMP0SE-144
POINT (0.0007682374273391 0.0002481900860615),BaylorSCH0S-WasinkhyahTMP0S-41
POINT (0.0007682491451159 0.000248193226094),BaylorSCH0S-WasinkhyahTMP0S-42
POINT (0.0007682626932159 0.0002481928737013),BaylorSCH0S-WasinkhyahTMP0S-43
POINT (0.0007682707602325 0.0002481895778172),BaylorSCH0SE-WasinkhyahTMP0SE-145
POINT (0.0007682554437733 0.0002482037188907),BaylorSCH0S-WasinkhyahTMP0S-44
POINT (0.0007682397021454 0.0002481917434497),BaylorSCH0S-WasinkhyahTMP0S-45
POINT (0.0007682457175383 0.0002481889167686),BaylorSCH0S-WasinkhyahTMP0S-46
POINT (0.0007682530738407 0.0002481898137592),BaylorSCH0S-WasinkhyahTMP0S-47
POINT (0.0007682624529011 0.0002481919291645),BaylorSCH0S-WasinkhyahTMP0S-48
POINT (0.0007682590532414 0.0002481977834308),BaylorSCH0S-WasinkhyahTMP0S-49
POINT (0.0007682640670887 0.0002482006526898),BaylorSCH0SE-WasinkhyahTMP0SE-146
POINT (0.0007682447951439 0.0002481891513609),BaylorSCH0S-WasinkhyahTMP0S-50
POINT (0.000768266114865 0.0002481997600228),BaylorSCH0SE-WasinkhyahTMP0SE-147
POINT (0.0007682533942669 0.0002482010324789),BaylorSCH0S-WasinkhyahTMP0S-51
POINT (0.0007682362090464 0.0002481914973113),BaylorSCH0S-WasinkhyahTMP0S-52
POINT (0.0007682590487004 0.0002481947939545),BaylorSCH0S-WasinkhyahTMP0S-53
POINT (0.0007682305105834 0.0002481924612036),BaylorSCH0S-WasinkhyahTMP0S-54
POINT (0.0007682643318285 0.0002481986542937),BaylorSCH0SE-WasinkhyahTMP0SE-148
POINT (0.0007682568823525 0.0002481944353952),BaylorSCH0S-WasinkhyahTMP0S-55
POINT (0.0007682607424679 0.0002481982816296),BaylorSCH0S-WasinkhyahTMP0S-56
POINT (0.0007682550351404 0.0002481910101312),BaylorSCH0S-WasinkhyahTMP0S-57
POINT (0.0007682324738514 0.0002481951152761),BaylorSCH0S-WasinkhyahTMP0S-58
POINT (0.0007682533572838 0.0002481904355066),BaylorSCH0S-WasinkhyahTMP0S-59
POINT (0.0007682648623137 0.000248191293699),BaylorSCH0S-WasinkhyahTMP0S-60
POINT (0.0007682562575965 0.0002482049184305),BaylorSCH0S-WasinkhyahTMP0S-61
POINT (0.0007682522673304 0.000248191194579),BaylorSCH0S-WasinkhyahTMP0S-62
POINT (0.0007682394530099 0.0002481908362915),BaylorSCH0S-WasinkhyahTMP0S-63
POINT (0.0007682329737639 0.0002481933011284),BaylorSCH0S-WasinkhyahTMP0S-64
POINT (0.000768261109295 0.0002481960477469),BaylorSCH0S-WasinkhyahTMP0S-65
POINT (0.0007682583125431 0.0002482154432527),BaylorSCH0SE-WasinkhyahTMP0SE-149
POINT (0.0007682602264038 0.0002481946301858),BaylorSCH0S-WasinkhyahTMP0S-66
POINT (0.000768247626856 0.0002481899907473),BaylorSCH0S-WasinkhyahTMP0S-67
POINT (0.0007682636819544 0.0002481966308772),BaylorSCH0SE-WasinkhyahTMP0SE-150
POINT (0.0007682544182889 0.0002482023994727),BaylorSCH0S-WasinkhyahTMP0S-68
POINT (0.0007682540810987 0.0002482018965945),BaylorSCH0S-WasinkhyahTMP0S-69
POINT (0.0007682443798975 0.0002481911451823),BaylorSCH0S-WasinkhyahTMP0S-70
POINT (0.0007682565985477 0.0002482006935107),BaylorSCH0S-WasinkhyahTMP0S-71
POINT (0.0007682541270825 0.0002481887528944),BaylorSCH0S-WasinkhyahTMP0S-72
POINT (0.0007682547260794 0.0002481898882732),BaylorSCH0S-WasinkhyahTMP0S-73
POINT (0.0007682525545885 0.0002481998623195),BaylorSCH0S-WasinkhyahTMP0S-74
POINT (0.0007682671925155 0.000248195735402),BaylorSCH0SE-WasinkhyahTMP0SE-151
POINT (0.0007682642778294 0.0002481992299334),BaylorSCH0SE-WasinkhyahTMP0SE-152
